Name,Slug,Cuisine,Price Level,Average Price,Currency,Rating,Review Count,Street,Zip Code,Locality,Country,Latitude,Longitude
Pratolina,pratolina,Italien,2,29,EUR,7.9,2681,11 Boulevard de Bonne Nouvelle,75002,Paris,France,48.8698601,2.350574
Kiwa,kiwa,Asiatique,1,18,EUR,9.2,121,148 Rue Montmartre,75002,Paris,France,48.86940850000001,2.3431702
Nossa Churrasqueira Paris 5,nossa-churrasqueira-paris-5,Portugais,2,20,EUR,9.6,475,1 Rue de l'École Polytechnique,75005,Paris,France,48.8473704,2.3481715
La Terra Madre,la-terra-madre,Italien,3,34,EUR,9.3,474,46 Rue de Ménilmontant,75020,Paris,France,48.8679598,2.3875073
Le Maine Café,le-maine-cafe,Français,3,31,EUR,9,66,88 Avenue du Maine,75014,Paris-14E-Arrondissement,France,48.837919,2.3221079
Curry Bowl - Vegan Vegetarian friendly,curry-bowl-vegan-vegetarian-friendly,Indien,1,15,EUR,9.6,36,36 Rue Poissonnière,75002,Paris,France,48.86994239999999,2.3479384
Le Lounge de  L'E7,le-lounge-de-l-e7,Français,3,39,EUR,8.8,241,39 Avenue de l'Opéra,75002,Paris,France,48.8682768,2.3329629
Khao Thaï Sévigné,khao-thai-sevigne,Thaïlandais,3,35,EUR,9.2,4913,10 Rue de Sévigné,75004,Paris,France,48.8555548,2.3621953
Kim’s spoon,kim-s-spoon,Coréen,2,23,EUR,9.4,1423,2 Rue Buffault ,75009,Paris,France,48.874878820507504,2.341566076380639
Green Star Sushi,green-star-sushi,Hawaien,1,15,EUR,8.8,392,11 Rue Saint-Didier,75116,Paris,France,48.8660813,2.2879919
"El Sol, Comptoir Espagnol 8ème",el-sol-comptoir-espagnol-8eme,Espagnol,3,35,EUR,9.6,614,"22, rue de Ponthieu",75008,Paris,France,48.870824917499,2.309540033340454
Dandy Hôtel & Kitchen,dandy-hotel-kitchen,Anglais,2,22,EUR,8.9,2612,86 Rue Saint-Denis,75001,Paris,France,48.8623288,2.3495945
Doïna,doina,,3,33,EUR,8.4,288,149 Rue Saint-Dominique,75007,Paris,France,48.8576469,2.3005215
Baan Phadthai Paris,baan-phadthai-paris,Thaïlandais,2,22,EUR,8.9,43,46 Rue Montmartre,75002,Paris,France,48.8650165,2.3451587
Café A,cafe-a,Français,2,29,EUR,7.9,49,148 Rue du Faubourg Saint-Martin,75010,Paris,France,48.8754121,2.360118
Le Washington,le-washington,Français,2,22,EUR,8.7,49,27 Rue Washington,75008,Paris,France,48.87344150000001,2.3032615
Via Del Campo,via-del-campo,,4,56,EUR,9.5,1147,22 Rue du Champ de Mars,75007,Paris,France,48.8561041,2.3040631
La Gazette,la-gazette,Français,3,50,EUR,9,812,28 Rue Duret,75116,Paris,France,48.875078,2.286522
Gusto,gusto,Italien,3,35,EUR,8.2,620,"134 bis, rue de Charenton",75012,Paris,France,48.845825021665,2.37992000579834
Le Recrutement Café,le-recrutement-cafe,Français,3,34,EUR,9.3,496,36 Boulevard de la Tour-Maubourg,75007,Paris,France,48.8601066,2.3100128
TAJ MAHAL PARIS CENTRE,taj-mahal-paris-centre,Indien,2,22,EUR,8.9,262,14 Rue Copernic,75116,Paris,France,48.869195,2.2902426
Café Montorgueil,cafe-montorgueil,Français,2,27,EUR,8.4,34,55 Rue Montorgueil,75002,Paris,France,48.8653836,2.346845800000001
Place Gustave,place-gustave,Français,2,26,EUR,8,29,7 Rue de la Croix Nivert,75015,Paris,France,48.8470753,2.300641
Fiorentina,fiorentina,Italien,2,26,EUR,7.4,37,7 Boulevard de Grenelle,75015,Paris,France,48.8542189,2.2894405
L'Anvers du Décor,l-anvers-du-decor,Français,3,39,EUR,8.8,1148,"32 bis, rue d'Orsel",75018,Paris,France,48.88371778288,2.342789888381958
BA FANG,ba-fang,Asiatique,2,24,EUR,0,0,107 Rue du Faubourg Poissonnière,75009,Paris,France,48.8775453,2.3490323
Au Ciel de Shanghai,au-ciel-de-shanghai,Asiatique,3,32,EUR,4.7,53,33 Av. de Suffren,75007,Paris,France,48.8550909,2.2951207
Raj's Palace,raj-s-palace,Indien,2,26,EUR,8.8,366,125 Rue Lamarck,75018,Paris,France,48.8909971,2.3303013
Lenôtre Victor Hugo,lenotre-victor-hugo,Français,3,40,EUR,9,15,48 Av. Victor Hugo,75116,Paris,France,48.86947139999999,2.2848036
La Traboule,la-traboule,Français,3,49,EUR,9,727,27 Rue de Penthièvre,75008,Paris,France,48.8726551,2.3152611
Le Petit Commines,le-petit-commines,Cuisine du monde,3,45,EUR,9.2,6701,16 Rue Commines,75003,Paris,France,48.862033,2.3662418
Les Vignes du Liban,les-vignes-du-liban,Libanais,2,28,EUR,9.5,3409,"291, rue du Vaugirard",75015,Paris,France,48.839310098328,2.3006300926208496
Guefen,guefen,Cuisine du monde,4,109,EUR,0,0,9 Rue du Vertbois,75003,Paris,France,48.8667388,2.3585737
Bistro des Augustins,bistro-des-augustins,Français,1,19,EUR,9.1,1579,39 Quai des Grands Augustins,75006,Paris,France,48.8546525,2.3419687
Le Marrakech,le-marrakech,Marocain,2,27,EUR,9.3,2852,"7, avenue Philippe Auguste",75011,Paris,France,48.849838997534,2.395009994506836
Canopé,canope,Fusion,3,45,EUR,9.6,149,42 Rue de Londres,75008,Paris,France,48.87812419999999,2.326554900000001
Mère Michèle Restaurant,mere-michele-restaurant,Oriental,1,19,EUR,8.1,74,11 Rue Vicq d'Azir,75010,Paris,France,48.8762248,2.3697791
LE NOTI CLUB,le-noti-club,Français,3,50,EUR,9.2,94,6 Port de Suffren,75015,Paris,France,48.85749899999999,2.289896999999999
Le Verre Siffleur,le-verre-siffleur,Français,3,40,EUR,8.8,56,73 Rue d'Alésia,75014,Paris,France,48.82770099999999,2.3287481
Sushi in Sushi,sushi-in-sushi,Japonais,2,26,EUR,9.5,222,"114, rue Truffaut",75017,Paris,France,48.88887,2.31688
Jean Imbert au Plaza Athénée,jean-imbert-au-plaza-athenee,Français,4,200,EUR,9.4,116,25 Av. Montaigne,75008,Paris,France,48.8662474,2.3041123
La Table de la Ressourcerie Créative,la-table-de-la-ressourcerie-creative,,1,15,EUR,0,101,68 Rue de l'Ouest,75014,Paris,France,48.8355765,2.3181995
La Baraque,la-baraque,Cuisine du monde,1,15,EUR,8.7,197,102 Rue de Charonne,75011,Paris,France,48.8543936,2.3843624
L’etoile de rivoli,l-etoile-de-rivoli,Vietnamien,2,20,EUR,3.7,145,158 Rue de Rivoli,75001,Paris,France,48.861258,2.3402612
